pridavne_jmeno,antonymum
maly,velky
svetly,tmavy
bily,cerny
pekny,osklivy
dobry,spatny
slany,sladky
suchy,mokry
teply,studeny
hruby,jemny
jednoduchy,slozity
lehky,tezky
kratky,dlouhy
silny,slaby
tvrdy,mekky
vysoky,nizky
tlusty,tenky
siroky,uzky
rychly,pomaly
prazdny,plny
cisty,spinavy
blizky,vzdaleny
stary,novy
chytry,hloupy
uvnitr,venku
liny,pilny
aktivni,pasivni
nudny,zabavny
smutny,stastny
statecny,zbabely
bohaty,chudy
nemocny,zdravy
hezky,osklivy
drahy,levny
sladky,kysely
rovny,krivy
vyznamny,nevyznamny
podstatny,nepodstatny
dulezity,nedulezity
zajimavy,nezajimavy
chladny,teply
muzsky,zensky
pravy,levy
