podstatne_jmeno,antonym
pritomnost,nepritomnost
anoda,katoda
export,import
ochota,neochota
dobro,zlo
vernost,nevera
loajalita,zrada
kazen,nekazen
sila,slabost
prirustek,ubytek
vyhoda,nevyhoda
jistota,nejistota
zivot,smrt
vitezstvi,porazka
vdek,nevdek
optimismus,pesimismus
vnitrek,vnejsek
mestan,cizinec
veritel,dluznik
zamestnanec,zamestnavatel
vytezek,ztrata
poptavka,nabidka
pritok,odtok
minimum,maximum
pritomnost,absence
poradek,neporadek
shoda,spor
vina,nevina
stesti,smula
vlhkost,sucho
bezpeci,nebezpeci
vodic,izolator
zrod,zanik
noc,den
zacatek,zaver
laska,nenavist
vztek,klid
tma,svetlo
