stat,muz,zena
belgie,belgican,belgicanka
belorusko,belorus,beloruska
bulharsko,bulhar,bulharka
afrika,african,africanka
amerika,american,americanka
anglie,anglican,anglicanka
asie,asiat,asiatka
australie,australan,australanka
ceska_republika,cech,ceska
cina,cinan,cinanka
dansko,dan,danka
evropa,evropan,evropanka
finsko,fin,finka
francie,francouz,francouzka
italie,ital,italka
japonsko,japonec,japonka
lotyssko,lotys,lotyska
kanada,kanadan,kanadanka
madarsko,madar,madarka
nemecko,nemec,nemka
nizozemsko,nizozemec,nizozemka
norsko,nor,norka
polsko,polak,polka
portugalsko,portugalec,portugalka
rakousko,rakusan,rakusanka
rusko,rus,ruska
rumunsko,rumun,rumunka
recko,rek,rekyne
slovensko,slovak,slovenka
spanelsko,spanel,spanelka
svedsko,sved,svedka
svycarsko,svycar,svycarka
ukrajina,ukrajinec,ukrajinka
velka_britanie,brit,britka
vietnam,vietnamec,vietnamka
