podst.jm,plural
pravo,prava
misto,mista
slovo,slova
dilo,dila
procento,procenta
cislo,cisla
auto,auta
pravidlo,pravidla
faktum,fakta
jmeno,jmena
stredisko,strediska
letadlo,letadla
sto,sta
zavazadlo,zavazadla
desetileti,desetileti
periodikum,periodika
telo,tela
tvrzeni,tvrzeni
vozidlo,vozidla
mesto,mesta
vojsko,vojska
hledisko,hlediska
vevodstvi,vevodstvi
strasidlo,strasidla
zvire,zvirata
druzstvo,druzstva
riziko,rizika
tema,temata
kriterium,kriteria
okno,okna
stanovisko,stanoviska
svetlo,svetla
sako,saka
meritko,meritka
jidlo,jidla
eso,esa
kreslo,kresla

